NA; 22,10,5,39,37,26,3,41,40,21,18,6,1,42,25,23,19,17,16,14,12,7,4,2;
NAS; 21,19,10;
NAVEGADOR; 36,11;
NECESSARIO; 40;
NECESSIDADE; 23,19,18,17,6;
NECESSÁRIA; 22,21,15,5;
NECESSÁRIO; 8,6,42,29,19,16,35,31,26,24,22,15,9,7,5;
NECESSÁRIOS; 23,19;
NELA; 28,27,26,19,1;
NEM; 12;
NESSA; 40,37,22,19,8,5;
NESSAS; 37;
NESSE; 23,22,21,16,5;
NESTE; 23,39,18,16,1;
NET; 7,6;
NETFRAMEWORS; 6;
NEXT; 5,4;
NO; 26,9,6,17,10,22,12,41,18,13,8,38,19,36,28,27,21,16,14,7,5,40,39,32,30,29,24,23,20,11,3;
NOME; 26,21,41,22,8,42,39,37,32,30,28,27,25,23,19,6;
NOMINALMENTE; 23;
NORMAIS; 21;
NOS; 19,10;
NOTA; 37,26,42,22,12,10,6,41,40,39,38,35,31,30,25,17,13,9,7,5,4,3,1;
NOTURNO; 38,37,36;
NOVA; 17,13,22;
NOVAMENTE; 41,22,21,18,17,8,6;
NOVO; 40,28,27,26,19,8;
NOVOS; 26,10,9;
Nº; 1;
NÃO; 26,19,12,40,39,37,30,23,22,21,18,15,5;
NÍVEIS; 10;
NÍVEL; 10;
NÚMERO; 10;
