OBJETIVO; 1;
OBRIGARÁ; 13,12;
OBS; 22,8;
OBSERVAR; 19;
OBSERVAÇÃO; 22;
OBTENDO; 10;
OBTER; 37,12,10;
OCORRAM; 22;
OCORRERÁ; 9;
OCORRIDA; 33;
OCORRIDO; 21;
OCORRIDOS; 19;
OCORRÊNCIA; 38,22;
OCORRÊNCIAS; 19,21,16;
OFERECENDO; 10;
OFF-LINE; 9,5;
OFICIAL; 1;
OK; 5,35,31,30,9,8,41,34,33,32,22;
ONDE; 22,21,41;
OPERACIONAIS; 9;
OPERAR; 21,11;
OPERAÇÃO; 25,9;
OPERAÇÕES; 9,6;
OPÇÃO; 22,10,38,7,5,3;
OPÇÕES; 32,11,10;
ORDEM; 5,7,6,4,3;
ORIENTAR; 18,2,1;
ORIENTATIVA; 39,1;
ORIENTAÇÕES; 1,39;
OS; 26,19,10,39,21,9,22,16,11,6,5,38,23,18,7,42,40,32,31,29,28,27,14,12,41,37,36,35,34,33,30,25,17,15,4,3,2;
OU; 15,10,38,37,34,32,22,16,35,33,30,29,25,21,42,41,39,31,23,19,11,7,1;
OUTRO; 42,18,7;
